host_response_time,host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,room_type,bathrooms,bedrooms,beds,price,Wifi,tv,Internet,Kitchen,Heating,Washer,Refrigerator,Dishwasher,Dryer,Microwave,Stove
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,0,110,1,1,0,1,1,0,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,110,1,1,0,1,1,1,1,1,1,1,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,119,1,0,0,1,1,1,1,1,1,1,1
a few days or more,0,0,0,Manhattan,Entire home/apt,1,1,2,80,1,1,0,1,0,0,1,0,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,0,1,1,299,1,1,0,1,1,1,0,0,1,0,0
within a day,0,0,0,Queens,Entire home/apt,1,1,2,119,1,1,0,0,1,0,1,0,1,1,0
Unknown,0,0,0,Manhattan,Entire home/apt,1,2,2,149,1,1,0,1,1,0,0,0,1,0,0
Unknown,0,0,0,Brooklyn,Entire home/apt,1,1,1,75,1,0,0,1,1,0,0,0,1,0,0
within a day,0,0,0,Manhattan,Entire home/apt,1,1,2,150,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Private room,1,1,1,100,0,0,0,0,0,0,0,0,0,0,0
within an hour,0,0,0,Brooklyn,Hotel room,1,1,1,199,1,1,0,0,1,1,0,0,1,0,0
within an hour,0,0,0,Manhattan,Private room,1.5,1,2,70,1,1,0,1,1,1,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Hotel room,1,1,2,349,1,1,0,0,1,1,0,0,1,0,0
within an hour,0,0,0,Brooklyn,Private room,1,1,2,349,1,1,0,0,1,1,0,0,1,0,0
within a day,0,0,0,Brooklyn,Entire home/apt,1.5,3,5,69,1,1,0,1,1,1,0,0,1,1,0
within an hour,0,0,0,Brooklyn,Private room,1,1,2,249,1,1,0,0,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Private room,1,1,1,100,1,1,0,1,1,0,1,0,1,0,1
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,2,2,200,1,1,0,1,1,0,1,0,1,0,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,119,1,1,0,1,1,0,1,0,1,1,1
Unknown,0,0,0,Brooklyn,Entire home/apt,1,2,3,150,1,1,0,1,1,1,1,1,1,1,1
a few days or more,0,0,0,Brooklyn,Entire home/apt,1,1,0,75,1,0,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,2,3,150,1,0,0,1,1,1,1,1,1,1,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,229,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Hotel room,1,1,1,179,1,1,0,0,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1.5,1,0,650,1,1,0,1,1,0,0,0,0,0,0
within a day,0,0,0,Brooklyn,Entire home/apt,1,2,2,150,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,4,120,1,1,0,1,1,0,1,0,1,1,1
within a few hours,0,0,0,Queens,Private room,1,1,1,76,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,2,100,1,1,0,1,1,1,1,0,1,0,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1,2,3,129,1,1,0,1,1,0,1,0,1,1,1
within an hour,0,0,0,Brooklyn,Entire home/apt,1.5,1,1,125,1,1,0,1,1,0,1,0,1,1,1
within a day,0,0,0,Brooklyn,Entire home/apt,1,1,1,140,1,1,0,1,1,1,1,1,1,1,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,2,4,200,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Private room,1.5,1,3,171,1,1,0,1,1,0,0,0,1,0,1
Unknown,0,0,0,Manhattan,Entire home/apt,1,1,1,130,1,1,0,1,1,1,0,0,1,0,0
within a few hours,0,0,0,Brooklyn,Entire home/apt,1,1,1,123,1,1,0,1,1,1,1,0,1,1,1
within a day,0,0,0,Manhattan,Entire home/apt,1,1,1,135,1,1,0,1,1,0,0,0,0,0,0
within an hour,0,0,0,Manhattan,Private room,1,1,1,49,1,1,0,1,1,0,1,0,1,1,0
within an hour,0,0,0,Brooklyn,Entire home/apt,1,1,1,130,1,1,0,1,1,1,1,1,1,1,1
